Entropy 2-grams	Chi^2 2-grams	Entropy 3-grams	Chi^2 3-grams	Entropy 4-grams	Chi^2 4-grams	Size	Termination	File Command
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
8.15009	395	8.42836	874	8.52396	796	785	png	PNG image data, 64 x 64, 8-bit gray+alpha, non-interlaced
7.72755	393	7.97452	226	7.97329	222	409	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
7.72755	393	7.97452	226	7.97329	222	409	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
7.72755	393	7.97452	226	7.97329	222	409	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
7.72755	393	7.97452	226	7.97329	222	409	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
8.14572	390.5	8.36269	900	8.51349	640	738	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
8.14572	390.5	8.36269	900	8.51349	640	738	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
8.14572	390.5	8.36269	900	8.51349	640	738	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
8.14572	390.5	8.36269	900	8.51349	640	738	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
8.17874	388.5	8.35449	934	8.5104	681	754	png	PNG image data, 25 x 25, 8-bit/color RGBA, non-interlaced
8.11929	388.5	8.37242	745	8.40944	708	710	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.11929	388.5	8.37242	745	8.40944	708	710	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.11929	388.5	8.37242	745	8.40944	708	710	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.11929	388.5	8.37242	745	8.40944	708	710	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.11929	388.5	8.37242	745	8.40944	708	710	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.11929	388.5	8.37242	745	8.40944	708	710	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.11929	388.5	8.37242	745	8.40944	708	710	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.69837	384	7.93846	239	7.99332	212	400	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.69837	384	7.93846	239	7.99332	212	400	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.69837	384	7.93846	239	7.99332	212	400	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.69837	384	7.93846	239	7.99332	212	400	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.69837	384	7.93846	239	7.99332	212	400	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.69837	384	7.93846	239	7.99332	212	400	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.69837	384	7.93846	239	7.99332	212	400	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.69837	384	7.93846	239	7.99332	212	400	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.57307	384	7.72743	255	7.81731	218	372	png	PNG image data, 48 x 48, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.68609	384	7.79302	235	7.91886	166	369	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
7.51726	381	7.7821	194	7.8588	161	355	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
7.51726	381	7.7821	194	7.8588	161	355	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
7.51726	381	7.7821	194	7.8588	161	355	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
7.51726	381	7.7821	194	7.8588	161	355	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.76086	380	7.94704	229	8.10703	159	404	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.60374	378	7.95092	168	7.93772	158	368	png	PNG image data, 50 x 50, 8-bit gray+alpha, non-interlaced
7.60374	378	7.95092	168	7.93772	158	368	png	PNG image data, 50 x 50, 8-bit gray+alpha, non-interlaced
7.60374	378	7.95092	168	7.93772	158	368	png	PNG image data, 50 x 50, 8-bit gray+alpha, non-interlaced
8.09101	377.5	8.25472	857	8.35462	773	712	png	PNG image data, 29 x 64, 8-bit/color RGBA, non-interlaced
8.09101	377.5	8.25472	857	8.35462	773	712	png	PNG image data, 29 x 64, 8-bit/color RGBA, non-interlaced
8.09101	377.5	8.25472	857	8.35462	773	712	png	PNG image data, 29 x 64, 8-bit/color RGBA, non-interlaced
8.09101	377.5	8.25472	857	8.35462	773	712	png	PNG image data, 29 x 64, 8-bit/color RGBA, non-interlaced
7.63151	377	7.78456	265	7.83029	206	376	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
