Size	Entropy	Chi^2	Pi Error	Termination	Command
271890	7.99906	352.757/388	0.146481	aar	Zip archive data, at least v2.0 to extract
271615	7.99906	356.393/388	0.151038	aar	Zip archive data, at least v1.0 to extract
279905	7.99905	367.115/388	0.149431	aar	Zip archive data, at least v2.0 to extract
233420	7.99903	312.307/387	0.146564	aar	Zip archive data, at least v2.0 to extract
280322	7.99903	378/388	0.1468	aar	Zip archive data, at least v2.0 to extract
242514	7.999	338.027/387	0.146921	aar	Zip archive data, at least v1.0 to extract
261889	7.999	361.317/388	0.147834	aar	Zip archive data, at least v2.0 to extract
271893	7.999	373.408/388	0.145325	aar	Zip archive data, at least v2.0 to extract
226148	7.99899	318.745/386	0.148139	aar	Zip archive data, at least v2.0 to extract
246338	7.99899	344.574/387	0.149871	aar	Zip archive data, at least v1.0 to extract
264471	7.99899	370.504/388	0.149994	aar	Zip archive data, at least v1.0 to extract
272783	7.99899	382.275/388	0.146058	aar	Zip archive data, at least v2.0 to extract
271776	7.99899	384.226/388	0.146967	aar	Zip archive data, at least v1.0 to extract
259084	7.99898	364.498/388	0.148987	aar	Zip archive data, at least v2.0 to extract
260094	7.99898	369.216/388	0.145529	aar	Zip archive data, at least v2.0 to extract
221913	7.99897	317.83/386	0.147525	aar	Zip archive data, at least v1.0 to extract
259079	7.99897	370.677/388	0.147301	aar	Zip archive data, at least v2.0 to extract
261959	7.99897	374.38/388	0.151499	aar	Zip archive data, at least v2.0 to extract
261961	7.99897	375.585/388	0.150926	aar	Zip archive data, at least v2.0 to extract
244854	7.99896	351.416/387	0.143935	aar	Zip archive data, at least v2.0 to extract
259171	7.99896	371.726/388	0.145514	aar	Zip archive data, at least v2.0 to extract
210535	7.99895	308.364/386	0.148289	aar	Zip archive data, at least v2.0 to extract
233419	7.99895	338.366/387	0.147824	aar	Zip archive data, at least v2.0 to extract
225094	7.99894	332.045/386	0.149533	aar	Zip archive data, at least v1.0 to extract
247244	7.99894	364.533/387	0.150793	aar	Zip archive data, at least v2.0 to extract
247245	7.99894	365.987/387	0.15121	aar	Zip archive data, at least v2.0 to extract
188955	7.99893	278.402/385	0.147757	aar	Zip archive data, at least v2.0 to extract
245030	7.99893	361.375/387	0.148576	aar	Zip archive data, at least v2.0 to extract
246366	7.99893	365.944/387	0.146941	aar	Zip archive data, at least v1.0 to extract
249983	7.99893	372.915/387	0.148866	aar	Zip archive data, at least v2.0 to extract
213934	7.99892	319.291/386	0.14502	aar	Zip archive data, at least v2.0 to extract
223660	7.99892	334.623/386	0.144388	aar	Zip archive data, at least v2.0 to extract
223660	7.99892	335.008/386	0.144388	aar	Zip archive data, at least v2.0 to extract
241987	7.99892	365.093/387	0.147185	aar	Zip archive data, at least v1.0 to extract
246429	7.99892	367.876/387	0.146245	aar	Zip archive data, at least v2.0 to extract
245627	7.99892	369.682/387	0.146835	aar	Zip archive data, at least v1.0 to extract
188957	7.99891	286.299/385	0.143667	aar	Zip archive data, at least v2.0 to extract
231791	7.99891	349.358/386	0.146977	aar	Zip archive data, at least v2.0 to extract
181582	7.9989	276.051/384	0.148229	aar	Zip archive data, at least v1.0 to extract
231793	7.9989	354.233/386	0.146032	aar	Zip archive data, at least v2.0 to extract
235824	7.9989	358.695/387	0.147502	aar	Zip archive data, at least v2.0 to extract
239451	7.9989	364.082/387	0.151626	aar	Zip archive data, at least v1.0 to extract
242297	7.9989	372.217/387	0.145167	aar	Zip archive data, at least v1.0 to extract
245763	7.9989	372.268/387	0.1492	aar	Zip archive data, at least v1.0 to extract
242210	7.9989	374.294/387	0.147904	aar	Zip archive data, at least v1.0 to extract
250034	7.9989	378.623/387	0.150201	aar	Zip archive data, at least v2.0 to extract
214027	7.99889	327.485/386	0.14996	aar	Zip archive data, at least v2.0 to extract
231422	7.99889	356.983/386	0.150849	aar	Zip archive data, at least v2.0 to extract
242588	7.99889	376.023/387	0.149515	aar	Zip archive data, at least v1.0 to extract
205871	7.99888	319.981/385	0.146578	aar	Zip archive data, at least v1.0 to extract
226320	7.99888	349.337/386	0.147179	aar	Zip archive data, at least v2.0 to extract
231773	7.99888	359.824/386	0.148427	aar	Zip archive data, at least v2.0 to extract
223592	7.99887	347.455/386	0.149249	aar	Zip archive data, at least v2.0 to extract
231777	7.99887	360.721/386	0.149789	aar	Zip archive data, at least v2.0 to extract
166882	7.99886	263.653/384	0.150357	aar	Zip archive data, at least v2.0 to extract
209383	7.99886	331.548/385	0.149441	aar	Zip archive data, at least v2.0 to extract
213909	7.99885	340.772/386	0.150751	aar	Zip archive data, at least v2.0 to extract
230939	7.99885	368.464/386	0.144756	aar	Zip archive data, at least v2.0 to extract
235535	7.99885	374.656/387	0.147287	aar	Zip archive data, at least v2.0 to extract
232498	7.99884	372.551/386	0.1467	aar	Zip archive data, at least v2.0 to extract
233420	7.99884	376.264/387	0.146761	aar	Zip archive data, at least v2.0 to extract
235348	7.99884	377.284/387	0.148788	aar	Zip archive data, at least v2.0 to extract
236649	7.99884	382.453/387	0.146504	aar	Zip archive data, at least v2.0 to extract
207651	7.99883	338.374/385	0.150671	aar	Zip archive data, at least v1.0 to extract
213922	7.99883	346.036/386	0.149454	aar	Zip archive data, at least v2.0 to extract
231187	7.99883	373.153/386	0.146867	aar	Zip archive data, at least v2.0 to extract
235349	7.99883	382.299/387	0.150654	aar	Zip archive data, at least v2.0 to extract
203300	7.99882	333.748/385	0.150835	aar	Zip archive data, at least v2.0 to extract
202828	7.99881	334.225/385	0.150596	aar	Zip archive data, at least v2.0 to extract
210715	7.99881	347.411/386	0.148908	aar	Zip archive data, at least v2.0 to extract
188956	7.9988	314.287/385	0.146275	aar	Zip archive data, at least v2.0 to extract
184728	7.99878	309.265/384	0.150029	aar	Zip archive data, at least v2.0 to extract
193037	7.99878	328.142/385	0.148885	aar	Zip archive data, at least v2.0 to extract
210535	7.99878	355.765/386	0.148089	aar	Zip archive data, at least v2.0 to extract
168727	7.99877	287.276/384	0.156365	aar	Zip archive data, at least v2.0 to extract
168727	7.99877	287.947/384	0.156433	aar	Zip archive data, at least v2.0 to extract
203050	7.99877	344.068/385	0.14306	aar	Zip archive data, at least v2.0 to extract
213922	7.99877	365.193/386	0.147936	aar	Zip archive data, at least v2.0 to extract
226151	7.99877	383.607/386	0.146343	aar	Zip archive data, at least v2.0 to extract
209382	7.99876	362.127/385	0.14806	aar	Zip archive data, at least v2.0 to extract
181193	7.99874	316.321/384	0.147217	aar	Zip archive data, at least v2.0 to extract
204968	7.99874	356.975/385	0.148596	aar	Zip archive data, at least v2.0 to extract
210529	7.99873	370.592/386	0.146868	aar	Zip archive data, at least v2.0 to extract
184191	7.99872	325.487/384	0.150517	aar	Zip archive data, at least v2.0 to extract
183035	7.99872	325.578/384	0.151208	aar	Zip archive data, at least v1.0 to extract
183920	7.99872	327.811/384	0.148252	aar	Zip archive data, at least v2.0 to extract
184507	7.99872	329.418/384	0.147675	aar	Zip archive data, at least v2.0 to extract
210924	7.99872	373.03/386	0.148186	aar	Zip archive data, at least v2.0 to extract
210924	7.99872	373.288/386	0.148204	aar	Zip archive data, at least v2.0 to extract
211820	7.99872	373.898/386	0.147862	aar	Zip archive data, at least v2.0 to extract
213905	7.99872	380.82/386	0.150293	aar	Zip archive data, at least v2.0 to extract
183920	7.99871	328.638/384	0.148252	aar	Zip archive data, at least v2.0 to extract
190781	7.99871	343.328/385	0.151294	aar	Zip archive data, at least v2.0 to extract
162887	7.99869	293.728/383	0.149352	aar	Zip archive data, at least v2.0 to extract
184633	7.99869	335.907/384	0.149105	aar	Zip archive data, at least v2.0 to extract
190786	7.99869	348.043/385	0.15136	aar	Zip archive data, at least v2.0 to extract
170027	7.99868	311.441/384	0.150118	aar	Zip archive data, at least v2.0 to extract
187108	7.99868	346.206/384	0.150296	aar	Zip archive data, at least v1.0 to extract
162835	7.99867	298.322/383	0.143949	aar	Zip archive data, at least v2.0 to extract
