Chi^2;Size;Entropy;Termination
401;129;5.87194;png
420;214;6.74255;png
394.667;744;7.56848;png
331.001;785;7.6954;png
389;158;6.19777;png
410.001;771;7.64967;png
427;115;5.50451;png
259.5;419;7.39024;png
409.001;891;7.70863;png
298.5;413;7.3715;png
381.5;365;7.05829;png
385.001;786;7.66787;png
447.668;801;7.66364;png
252.5;177;5.55536;key
101.84;1703;6.02028;key
172.667;215;5.62669;pubkey
132.958;1675;6.02088;key
111.792;1679;6.03373;key
136.625;1679;6.02302;key
132.708;1679;6.02415;key
108.077;887;5.99991;key
107.615;891;5.99978;key
108.077;887;5.99991;key
254.471;1151;5.92239;crt
108.077;887;5.99991;key
108.077;887;5.99991;key
108.077;887;5.99991;key
108.077;887;5.99991;key
108.077;887;5.99991;key
248.6;696;5.84433;pem
108.077;887;5.99991;key
108.077;887;5.99991;key
182;964;5.96788;priv
193.8;379;5.77317;priv
135.556;654;5.94969;pub
147.5;447;5.90342;pub
180;247;5.69897;pub
112;668;5.97864;priv
182.5;272;5.63539;pub
121.231;875;5.96936;priv
161.083;1746;6.04604;priv
115.462;891;5.99421;pem
447.668;801;7.66364;png
108.077;887;5.99991;key
329.5;9348;7.97525;gz
263.636;8658;7.97894;gz
299.5;19508;7.989;woff2
297.324;19868;7.98949;woff2
417.488;21162;7.98585;swf
254.471;1151;5.92239;crt
108.077;887;5.99991;key
108.077;887;5.99991;key
156;158;5.6056;bcmap
149;158;5.62161;bcmap
330.5;179;5.58479;bcmap
331;180;5.60338;bcmap
331.5;181;5.59137;bcmap
330;180;5.59227;bcmap
329;182;5.59197;bcmap
173;166;5.67657;bcmap
165;156;5.52308;bcmap
155;160;5.65515;bcmap
270.5;193;5.80294;bcmap
179;182;5.80804;bcmap
248.6;696;5.84433;pem
256.636;757;5.86178;pem
248.6;696;5.84433;pem
248.6;696;5.84433;pem
